0,B6,17.528
1,EV,16.451
2,F9,14.346
3,YV,13.412
4,UA,12.898
5,OO,12.313
6,AA,11.868
7,NK,10.756
8,OH,10.468
9,9E,10.085
10,G4,10.065
11,WN,9.93
12,MQ,8.967
13,YX,8.356
14,DL,8.141
15,AS,4.98
16,HA,1.295
